"","BVSP.Open","BVSP.High","BVSP.Low","BVSP.Close","BVSP.Volume","BVSP.Adjusted"
"1",87887,91479,87536,91012,5615400,91012
"2",91011,91596,89922,91564,6066200,91564
"3",91577,92701,90824,91841,5322100,91841
"4",91845,92552,91288,91699,4565000,91699
"5",91699,92231,91064,92032,4496500,92032
"6",92033,93626,92028,93613,5011400,93613
"7",93599,93987,93050,93806,4840600,93806
"8",93806,93961,93359,93658,5330500,93658
"9",93645,94474,93335,94474,4486900,94474
"10",94474,94695,93402,94056,4836400,94056
"11",94057,94393,93687,94393,4257400,94393
"12",94393,95682,93950,95351,4944200,95351
"13",95386,96396,95386,96097,4884000,96097
"14",96093,96093,94863,96010,2717600,96010
"15",96008,96070,94662,95103,4256000,95103
"16",95116,96576,95116,96558,0,96558
"17",96558,97677,96558,97677,5019400,97677
"18",97674,97937,94783,95444,7185300,95444
"19",95508,96751,95508,95639,5262000,95639
"20",95643,97107,95643,96996,6164400,96996
"21",96996,98405,96996,97394,5976000,97394
"22",97395,98044,96990,97861,4301600,97861
"23",97861,98589,96901,98589,4278300,98589
"24",98587,98587,97596,98311,4773700,98311
"25",98308,98308,94636,94636,5458200,94636
"26",94654,95642,93507,94406,5612500,94406
"27",94401,95486,93424,95343,5302500,95343
"28",95351,95499,93737,94413,3767300,94413
"29",94420,96571,94420,96168,4915000,96168
"30",96169,96804,95389,95842,5814400,95842
"31",95843,98019,94915,98015,5222300,98015
"32",98015,98238,97083,97526,4586300,97526
"33",97527,97527,96239,96510,2837100,96510
"34",96513,98185,96513,97659,4830600,97659
"35",97661,98544,96545,96545,5906800,96545
"36",96546,97231,95793,96932,5814100,96932
"37",96929,97887,96929,97886,4426600,97886
"38",97881,98190,97087,97240,4360000,97240
"39",97242,97904,97235,97603,3555100,97603
"40",97603,97782,96886,97307,3873500,97307
"41",97307,97528,95364,95584,5365700,95584
"42",95584,96113,94394,94604,4054700,94604
"43",NA,NA,NA,NA,NA,NA
"44",94216,94532,93729,94340,4104300,94340
"45",94340,95476,93305,95365,4054200,95365
"46",95384,98027,95384,98027,4251500,98027
"47",98038,98150,97267,97828,3832900,97828
"48",97831,99267,97464,98904,4812100,98904
"49",98905,99036,97776,98605,3584500,98605
"50",98605,99393,98597,99137,5136400,99137
"51",99141,100038,99141,99994,4204100,99994
"52",99991,100439,99373,99588,5231100,99588
"53",99588,99708,97981,98041,4633200,98041
"54",98041,98046,95456,96729,5321200,96729
"55",96725,96725,93380,93735,6001100,93735
"56",93735,94384,93103,93662,4508400,93662
"57",93668,95525,93668,95307,4660700,95307
"58",95297,95297,91903,91903,5726900,91903
"59",91901,94854,91584,94389,5192300,94389
"60",94402,95863,94402,95415,4674600,95415
"61",95423,96752,95423,96054,3753500,96054
"62",96062,96690,94825,95387,3713200,95387
"63",95392,96442,94124,94491,4308900,94491
"64",94503,96394,94334,96313,4086200,96313
"65",96319,97493,96152,97108,3689000,97108
"66",97110,97610,96743,97369,3430800,97369
"67",97366,97366,95488,96292,3733400,96292
"68",96292,96902,95670,95953,4574600,95953
"69",95954,95954,94173,94755,3530500,94755
"70",94747,94768,92516,92875,6712200,92875
"71",92875,93723,92697,93083,4629800,93083
"72",93082,95062,92879,94333,4581600,94333
"73",94337,95042,92338,93285,6458600,93285
"74",93285,95140,93285,94578,4933300,94578
"75",94578,95038,93721,94588,3176600,94588
"76",94590,96315,94590,95923,4309100,95923
"77",95923,95923,94163,95045,4658800,95045
"78",95027,96552,94213,96552,4878200,96552
"79",96552,96563,95620,96236,3767100,96236
"80",96254,97123,96004,96188,3225400,96188
"81",96191,96707,95613,96353,4228600,96353
"82",96339,96339,95312,95528,3863600,95528
"83",95521,96315,95521,96008,4014800,96008
"84",95992,95992,94540,95009,3216000,95009
"85",95009,95009,92750,94389,4907400,94389
"86",94389,96312,94389,95597,4916500,95597
"87",95597,95597,93883,94808,4152200,94808
"88",94809,94848,93234,94258,4097900,94258
"89",94252,94252,91600,91727,4662600,91727
"90",91736,92529,91562,92092,4045400,92092
"91",92088,92088,90295,91623,4791900,91623
"92",91622,91622,89778,90024,5570000,90024
"93",90023,91321,89409,89993,5342700,89993
"94",90006,92117,89822,91946,4620000,91946
"95",91946,94573,91946,94485,5397000,94485
"96",94485,95212,93883,94361,4232500,94361
"97",94360,94547,93300,93910,3787800,93910
"98",93912,94900,93545,93628,3484700,93628
"99",93626,95444,93626,94864,2544800,94864
"100",94863,96552,94707,96393,6383100,96393
"101",96389,96986,95690,96567,4559100,96567
"102",96566,97939,96511,97457,4398200,97457
"103",97420,97992,96792,97030,5089500,97030
"104",97036,97757,96430,97020,4547900,97020
"105",97020,97723,96593,97380,4293300,97380
"106",97381,97686,95686,95999,3769100,95999
"107",96002,97462,96002,97205,4054900,97205
"108",97205,98326,97205,97821,3718500,97821
"109",97828,97856,96782,97467,3584000,97467
"110",97467,98985,97467,98960,4922400,98960
"111",98960,99240,97831,98321,4948800,98321
"112",98321,99364,98321,98774,5594000,98774
"113",98776,98981,97601,98040,9184900,98040
"114",98038,98439,97623,97623,3926300,97623
"115",97633,99412,97633,99404,4524500,99404
"116",99403,100327,98978,100303,4411300,100303
"117",100305,102100,100305,102013,5490800,102013
"118",102018,102617,101589,102062,3559800,102062
"119",102061,102061,99890,100093,4469200,100093
"120",100095,101126,100095,100689,5013800,100689
"121",100689,101025,99421,100724,4154700,100724
"122",100726,101563,100726,100967,4079900,100967
"123",100973,102432,100973,101340,411600,101340
"124",101342,101565,100073,100605,4951600,100605
"125",100576,102177,100451,102043,4801200,102043
"126",102047,104022,102047,103636,3978700,103636
"127",103628,104176,102622,104089,4208400,104089
"128",104090,104679,103988,104530,3500300,104530
"129",104537,106650,104537,105817,6815700,105817
"130",105818,105886,104814,105146,4845300,105146
"131",105158,105731,103903,103906,4748000,103906
"132",103909,104578,103495,103803,3995500,103803
"133",103805,104440,103361,103775,4475800,103775
"134",103775,104453,103712,103856,3818300,103856
"135",103859,104773,103859,104717,4410900,104717
"136",104716,104723,103388,103452,3484400,103452
"137",103452,104278,103452,103949,3464400,103949
"138",103949,104430,103518,103704,4050300,103704
"139",103707,104570,103707,104120,4872700,104120
"140",102991,103464,102390,102655,5804700,102655
"141",102654,103209,102196,102819,5141400,102819
"142",102817,103483,102461,103483,3559900,103483
"143",103483,103555,102596,102933,4060500,102933
"144",102946,103129,100950,101812,5072900,101812
"145",101819,104056,101819,102126,7129100,102126
"146",102122,103180,101667,102674,4923500,102674
"147",102658,102658,99630,100098,5000400,100098
"148",100098,102178,100098,102164,5074800,102164
"149",102163,102784,100476,102782,5570600,102782
"150",102811,104282,102811,104115,5538300,104115
"151",104102,104848,103547,103996,4549300,103996
"152",103946,103946,101621,101915,4509700,101915
"153",101912,103778,101414,103299,5198900,103299
"154",103270,103270,99955,100258,6485200,100258
"155",100262,101014,98200,99057,6585300,99057
"156",99059,100567,99059,99806,5483400,99806
"157",99810,100948,98908,99469,4924000,99469
"158",99472,99665,98002,99222,5235200,99222
"159",99227,101240,99221,101202,5969700,101202
"160",101209,101469,100011,100011,4495500,100011
"161",100007,100025,97085,97667,5668800,97667
"162",97687,98436,95961,96430,4136800,96430
"163",96434,97951,95855,97276,6581700,97276
"164",97273,98346,96557,98194,4350800,98194
"165",98194,100684,98194,100524,5163300,100524
"166",100526,101551,100526,101135,6109600,101135
"167",101133,101611,100626,100626,2685400,100626
"168",100626,101417,99406,99681,0,99681
"169",99706,101201,99706,101201,4310700,101201
"170",101204,103258,101204,102243,4814300,102243
"171",102247,103182,102246,102935,3976000,102935
"172",102937,104260,102793,103181,5516800,103181
"173",103180,103503,102231,103032,5478900,103032
